p0608	Teal and white Harley-Davidson tank on the stand
p0609	Teal and white two-tone fender fresh off paint
p0615	Teal and white fender on the booth stand
p0656	Blacked-out Audi grille with glossy red rings
p0658	Audi grille with red rings close up
p0659	Red car quarter panel spot-primed in gray
p0665	Blue metallic touring fender with honeycomb graphic
p0666	Blue metallic batwing fairing with hexagon graphic
p0667	Blue batwing fairing on the paint stand
p0668	Blue metalflake saddlebag lid with chrome script
p0669	Blue metalflake paint with black pinstripe detail
p0678	Gold and cream bobber with alligator solo seat
p0679	Gold and cream cruiser with Jack Daniels bag
p0680	Red and silver Harley-Davidson tank on stand
p0685	Silver and navy saddlebag in the booth
p0690	Blue and silver saddlebag lid in the booth
p0703	Masked black truck bed in the spray booth
p0705	Satin black truck bed fresh in the booth
p0706	Fresh black paint on masked truck in booth
p0708	Fresh glossy black paint with yellow masking tape
p0712	Bagger saddlebag set in gray primer
p0714	Primer gray saddlebags mounted back to back
p0716	Satin black motorcycle tank with masked cap
p0718	Green to purple color-shift flake motorcycle tank
p0721	Color-shift metalflake tank glowing purple and green
p0723	Color-shift flake saddlebags in green and purple
p0725	PPG paint toner shelf in the mixing room
p0728	Purple green color-shift fairing set with EVO script
p0730	Color-shift fenders with hexagon honeycomb graphics
p0731	Purple green color-shift batwing fairing close up
p0732	Candy orange Honda tank in the paint booth
p0753	Copper orange Honda tank on the booth stand
p0754	Copper Honda tank glossy top view outside
p0755	Copper Honda tank close up outside the shop
p0756	Masked tank with pinstripe lines taped off
p0766	Baby blue saddlebag lids with Spray Max clear
p0768	UV finishing glaze beside sanded black saddlebag
p0770	Spray Max glaze tube next to sanded black lid
p0791	Masked maroon saddlebag lid ready for clear
p0792	Maroon saddlebag lid taped off with Spray Max cans
p0793	Paper-masked fairing with blue spray patch window
p0794	Masked saddlebag with blue touch-up window taped
p0795	Black pinstripe scroll design on gold flake panel
p0796	Red and white painted panel with bar shield emblem
p0797	Gold and burgundy flake panel with silver leaf
p0798	White saddlebag lid with burnt orange stripe
p0799	White bagger lid with copper stripes and ghost hexagons
p0800	White saddlebag lids with pinstripe graphics on bench
p0801	White bagger lid with copper stripe and hexagons
p0802	Pinstriped white saddlebag lids on the workbench
p0811	Orange tank top with silver leaf sunburst pinstriping
p0812	Custom orange fender with silver leaf graphics
p0813	Orange Harley fender with pinstripe detailing
p0814	Silver leaf pinstripes on custom orange fender
p0815	Orange touring fender with silver leaf inserts
p0689	Blue and silver saddlebag fresh from the booth
