p936	Primered body panels on stands inside the paint booth
p937	Gloss red bumper freshly sprayed on the stand
p938	Gloss red bumper cover curing on the booth stand
p939	Glossy red bumper cap on the paint stand
p940	Wet red clearcoat wrapping the bumper edge
p941	Gloss white fairing fresh in the paint booth
p942	White painted fairings on stands in the booth
p943	Gloss white fairing set curing on booth stands
p944	Textured black bagger fairing with speaker cutouts
p945	Grey textured speaker lid beside the tint racks
p946	Blue bagger fairing with gold pinstripe detail
p947	Blue fairing shell with pinstriped speaker rim
p948	Gold flake board with black illustrated lettering
p949	Gold flake deck with Know Your Circle banner
p950	Gold flake panel with black scrollwork on the bench
p951	Gold honeycomb board with leaf lettering on a stand
p952	Gold honeycomb deck with pinstriped center art
p953	White bagger with stretched saddlebags in the garage
p954	White bagger fairing and tour pack in the garage
p955	Pearl white bagger with black contrast-cut wheels
p956	White bagger front end with smoked windshield
p957	Purple and gold flake board with pinstripe layout
p958	Silver leaf pinstriping over purple flake deck
p959	Wire rack of burgundy bagger parts in storage
p960	Used interior trim pieces laid out on a hood
p961	Open gallon of custom-mixed red basecoat on the cart
p962	Bagger parts staged on stands in the empty booth
p963	Grey metallic console lid curing in the booth
p964	Fresh grey metallic fairing piece on the stand
p965	Burgundy bagger parts on masking paper in the booth
p966	Fresh burgundy clearcoat on the fairing shell
p967	Deep red metallic fairing top under booth lights
p968	Candy red speaker lid freshly cleared
p969	Wet candy red speaker lid in the booth
p970	Dark bronze pearl rear fender on an outside stand
p971	Charcoal pearl fender catching sunlight reflections
p972	Gloss black-bronze front fender on the stand
p973	Bronze pearl front fender curing in the sun
p974	Glossy burgundy motorcycle tank with bronze pearl
p975	Black-to-bronze pearl tank gleaming in sunlight
p976	Purple Harley-Davidson deck with silver flake arrows
p977	Harley-Davidson lettering over purple and blue flake deck
p978	Close-up silver flake arrow on purple Harley deck
p979	Purple and magenta Harley deck with ghost arrows
p980	Silver flake board with gold flame graphics
p981	Gold flames on silver flake with navy border
p982	Flamed deck with gold leaf border in the shop
p983	Orange-to-gold flames over silver flake ground
p984	Lime gold flake bagger parts drying on racks
p985	Lime gold metal flake tank on the stand
p986	Chartreuse flake fairing chin spoiler close-up
p987	Blue saddlebag lid with lime green pinstripe
p988	Blue bag lid staged with Harley-Davidson decal
p989	Gloss black fender with red double pinstripe
p990	Leazel hand-lettered sign with flying eyeball
p991	Teal bagger tank with louvered white panel
p992	Burgundy tour pack lid with gold pinstripe panel
p993	Candy red fender with white Aztec pattern graphics
p994	Candy red bagger set with silver scrollwork graphics
p995	Yellow-to-red air tank with TTRC logo in the booth
