p1236	Candy red fairing with airbrushed skull graphic
p1237	Airbrushed skull detail on candy red fairing
p1238	Candy red fender with airbrushed spine graphic
p1239	Candy red fender spine graphic on the stand
p1240	Airbrushed skull fading across red fairing top
p1241	PPG tint cans on the mixing shelf
p1242	Deltron clear coat cans on the workbench
p1243	Purple metal flake panel with gold outline graphics
p1244	Laying out gold pinstripe on Harley-Davidson tank
p1245	Pinstripe layout on Harley-Davidson tank
p1246	Gold pinstripe work on Harley-Davidson tank
p1247	Sword striping brush on Harley tank
p1248	Neon yellow fairing with color match cards
p1249	Gloss red saddlebag lid in the booth
p1250	Fresh clear on red saddlebag lid
p1251	Red saddlebag lid buffed on the stand
p1252	Red saddlebag lid with deep gloss clear
p1253	Purple flake panel beside PPG mixing shelf
p1254	Metal flake panel sparkling in sunlight
p1255	Harley-Davidson anniversary tank in two-tone blue
p1256	Black and neon yellow tank in clear
p1257	Sport bike tank split neon yellow and black
p1258	Blue sport bike tank blended in primer
p1259	Maroon Harley tank sanded to gray filler
p1260	Harley tank mid paint strip on the stand
p1261	Purple tank with stripper patches on the stand
p1262	Tank dent repair sanded and masked
p1263	Maroon tank repair area sanded gray
p1264	Sanded filler spot on maroon tank
p1265	Harley tank bodywork with primer patches
p1266	Maroon tank spot-primed after bodywork
p1267	Purple tank top primed after repairs
p1268	Masked tank in burgundy base coat
p1269	Fresh red base on masked tank
p1270	Two-tone tank with gold pinstripe detail
p1271	Maroon and purple tank with gold pinstripe
p1272	Two-tone tank pinstriped in gold and red
p1273	Glossy two-tone tank fresh from the booth
p1274	Magenta tank in sunlight after clear
p1275	Black Radian tank with gold lettering
p1276	Radian tank in fresh black clear
p1277	Gloss black fender in the paint booth
p1278	Gloss black oil tank curing on the hanger
p1279	Metal flake mailbox with gold BELLO lettering
p1280	Custom BELLO mailbox in orange flake
p1281	Green marble flake paint on custom sphere
p1282	Red candy marble swirl on painted sphere
p1283	Painted sphere with gold Greek key band
p1284	Silver flake sphere with magenta and green panels
p1285	Gold Greek key stripe on flake sphere
p1286	Dented white truck bed corner with rust
p1287	Crushed bed panel before repair
p1288	Bed corner repair with body filler
p1289	Bed panel filler work beside the taillight
p1290	Fresh paint on repaired bed corner
p1291	Yellow filler on truck bed corner
p1292	Guide coat block sanding on bed corner
p1293	Sanded body filler on bed corner
p1294	Masked bed corner sprayed in gray primer
p1295	Repainted bed corner color matched white
