p1056	Plotter-cut Aztec pattern stencil on backing paper
p1057	Silver metal flake fender on paint stand
p1058	Silver flake front fender on the stand
p1059	Pair of silver flake tanks on stands
p1060	Silver flake fairing set outside the shop
p1061	Gloss black hood with blacked vents in booth
p1062	Masked black fender ready for clear
p1063	Black fairings staged in the spray booth
p1064	Gloss black motorcycle tail on paint stand
p1065	Gloss black front fairing fresh from paint
p1066	Gloss black side cowl on booth stand
p1067	Gloss black front fender on the rotisserie
p1068	Silver horn cover with gold Redhawk lettering
p1069	Gold Redhawk script with orange stripe taping
p1070	Aztec stencil layout over silver base coat
p1071	Red candy sprayed over Aztec stencil
p1072	Red candy fade over Aztec stencil pattern
p1073	Silver Aztec pattern revealed through red candy
p1074	Finished Redhawk panel with red Aztec inlay
p1075	Peeling honeycomb stencil from orange flake panel
p1076	Multicolor metal flake sample panel with flames
p1077	Pearl white touring fenders and tanks in primer
p1078	Olive green metallic saddlebags and fender set
p1079	Olive green touring parts curing on concrete
p1080	Green flake tank with Bar and Shield outline
p1081	Green flake saddlebag lids with honeycomb pattern
p1082	Green scalloped tank with ghost honeycomb detail
p1083	Green tank scallop layout from above
p1084	Masked green nose fairing ready for striping
p1085	Taped olive fender beside Redhawk tank
p1086	Silver pearl rear fender with stripe layout
p1087	Green candy tank with ghost honeycomb and shield
p1088	Deep green scalloped tank top view
p1089	Green honeycomb saddlebag lids in the booth
p1090	Green honeycomb chin spoiler in the booth
p1091	Green candy fairing in the booth
p1092	Green pearl rear fender with striped panels
p1093	Emerald flake fender with paneled design
p1094	Gloss green touring fairing front in booth
p1095	Green candy front fender top view
p1096	Gunmetal flake saddlebag lid close-up
p1097	Gunmetal flake stretched saddlebag in sunlight
p1098	Gunmetal flake tank with masked filler neck
p1099	Silver flake touring fairing in the booth
p1100	Silver flake tour pak top with vents
p1101	Silver flake stretched saddlebags on stands
p1102	Orange Porsche caliper with black lettering
p1103	Masked Porsche caliper painted orange
p1104	Orange Porsche caliper on drilled rotor
p1105	Fresh orange caliper behind the rotor
p1106	Black fairing set curing in the booth
p1107	Candy red Redhawk tank with gold script
p1108	Red Redhawk tank and fender set striped
p1109	Red fenders with diamond pattern and gold stripe
p1110	Red patterned front fender in the sun
p1111	Red patterned rear fender in the booth
p1112	Red front fender with diamond inlay close-up
p1113	Red Redhawk horn cover with silver thunderbirds
p1114	Red Redhawk cowl with silver tribal pattern
p1115	Red candy fender with Aztec diamond inlay
