p0009	Green Dodge Daytona sedan rear three-quarter
p0020	Green Dodge Daytona beside shop service signs
p0026	Green Dodge interior with black cloth seats
p0029	Red sportbike with chrome wheel on lift table
p0030	Metalflake skateboard deck with orange flame paint
p0031	Bright green Dodge Daytona rear view at shop
p0032	Green metalflake panel with swept stripe layout
p0033	Silver metalflake panel taped off for striping
p0034	Green candy stripes sprayed over silver flake
p0035	Masked silver flake panel with green tape layout
p0036	Hemi engine bay in the green Charger
p0037	Finished green flake panel with silver stripes
p0038	Masked maroon SUV door in the booth
p0039	Red SUV basecoat sprayed in the booth
p0040	Glossy maroon Jeep hood fresh from the booth
p0042	Maroon Jeep hood and fender on booth stands
p0044	Glossy maroon Jeep bumper on the booth stand
p0045	Fresh maroon bumper cover in the paint booth
p0047	Silver Harley tank with honeycomb scallop layout
p0048	Green metalflake Harley tank with honeycomb graphics
p0049	Green flake Harley tank fresh in the booth
p0050	Green metalflake tank overhead in the booth
p0051	Green flake tank and fender on booth stands
p0052	Green flake tank with Harley shield graphic
p0063	Lime to green color shift test panel
p0066	Black and silver 3D cube pattern panel
p0069	Gray Harley panel taped with stripe layout
p0070	Cream and maroon vintage tank with pinstriping
p0071	Maroon and cream tank pinstripe close-up
p0072	Cream and black tank rear pin stripe view
p0073	Maroon fenders with hexagon ghost pattern
p0074	Maroon fender set with cream inlays
p0075	Glossy maroon fender fresh cleared on stand
p0076	Gloss black flake side cover in the booth
p0077	Masked snowboard with silver flake center stripe
p0078	Black flake tank and side cover in booth
p0079	Black flake Harley side cover close-up
p0080	Gloss black metalflake tank fresh paint
p0081	Blue metalflake snowboard with scallop stripes
p0082	Blue flake snowboard deck on display stand
p0083	Blue metalflake snowboard top view
p0099	Red Harley fairing with gold pinstripe outline
p0104	Red Harley tank with gold pinstriping and flames
p0106	Red Harley tank pinstriped outside in snow
p0112	Blue metallic motorcycle fender in the booth
p0113	Blue metallic rear fender on booth stand
p0114	Two-tone blue and white tank console with stripes
p0116	Gloss white batwing fairing in the booth
p0117	Gloss white stretched tank shroud on stand
p0134	Blue bagger fairing with black two-tone trim
p0135	Blue fairing with pinstriped speaker trim
p0136	White bagger build parked in the garage
p0138	White bagger with saddlebags in home garage
p0143	Fresh white bagger paint in the garage
p0144	White bagger fairing and tour pack in garage
p0145	Gloss white bagger motorcycle in garage
p0148	Chrysler hood loaded with trim pieces for paint
p0158	Purple and gold flake snowboard with pinstriping
p0161	Black pearl motorcycle fender on stand outside
