p0168	Painted skateboard deck with silver flake and orange flames
p0172	Lime gold metalflake tank and fairing set on the rack
p0174	Lime gold metalflake front fender on the paint stand
p0175	Blue saddlebag lid with green lightning bolt pinstripe
p0176	Blue saddlebag lid masked with gold Harley-Davidson script
p0177	Gloss black fender with red pinstripe on the stand
p0178	Hand-lettered panel with winged eye and arrow artwork
p0179	Deep teal tank with double pinstripe in the booth
p0180	Candy red fender with silver aztec pattern panel
p0181	Candy red tank with silver scallop pinstriping
p0182	Burgundy saddlebag lid with tan pinstripe border
p0183	Yellow to red fade exhaust with TTRC logo
p0186	Deep candy red front fender in the booth
p0190	Candy red rear fender on the paint stand
p0192	Candy burgundy saddlebag lid fresh in the booth
p0199	Dark red batwing fairing in the spray booth
p0202	Burgundy inner fairing shell in the booth
p0203	Blue true fire flame test panel held outside
p0211	Plum purple saddlebag lids with red pinstripes
p0212	Plum purple fenders and lids sanded for repaint
p0213	Sanded plum purple fairing with factory pinstripe
p0214	Sanded navy fender repair with yellow tape mask
p0215	Gray two-tone fenders in bodywork with blue stripe
p0230	Plum purple saddlebag lid with gold pinstripes
p0236	Candy blue and black bagger in the shop
p0240	Black batwing fairing shell in the booth
p0251	Gloss black fairing inner shell in the booth
p0252	Black fairing parts staged on stands in the booth
p0253	Black sportbike fairing parts on stands in the booth
p0254	Gloss black sportbike tank on the paint stand
p0255	Gloss black upper fairing on the paint stand
p0256	Gloss black tail section in the spray booth
p0258	Silver flake tank with orange masked graphics
p0269	Lime green tank with black flames and bar shield
p0270	Lime green flame tank with bar shield outside
p0271	Green honeycomb side covers with masked stencils
p0272	Black and green tank with honeycomb and bar shield
p0273	Black and green scallop tank top view
p0277	Candy green tank with bar shield in the booth
p0278	Candy green tank top with green pinstripes
p0286	Orange Porsche brake caliper masked on the car
p0292	Orange Porsche caliper over the brake rotor
p0295	Orange Porsche caliper on rotor front view
p0303	Red Redthawk tank with silver thunderbird pattern
p0304	Red Redthawk side cover with eagle graphic
p0312	White truck front end stripped for collision repair
p0313	White van on the frame rack for collision repair
p0314	Purple tank with white flames on the shop floor
p0322	Purple front fender with white flames outside
p0329	Masked silver panel with green 109 stencil
p0332	Red panel with airbrushed 109 in swirl pattern
p0333	Finished white box with red center and 109 artwork
p0341	Matte blue and black tank on the stand
p0342	Blue and black two-tone tank in the booth
p0343	Blue to black tank top with pinstripe in booth
p0344	Silver primer guitar body hanging on a rack
p0345	Blue guitar body in matte paint outside
p0346	Teal blue tank and fender set beside the car
p0323	Purple fender with white flame graphics
