p1116	Candy red fender with white pinstriping and thunderbird pattern
p1117	Red metalflake tank with silver Southwest graphics
p1118	Red metalflake tank with gold thunderbird logo
p1119	Candy red tank with layered silver pinstripes
p1120	Red tank underside with silver geometric graphics
p1121	Metalflake paint sample panels on the cart
p1122	White van on the frame rack for collision repair
p1123	Frame pull with chain on damaged van
p1124	Van front corner with bumper removed
p1125	Blue fade fender with light blue oval stripe
p1126	Blue fade fender with twin pinstripes on stand
p1127	Blue fade fender profile with teal pinstripes
p1128	Color-shift fender flipping green to blue
p1129	Silver tank with red top and number one emblem
p1130	Purple tank with white flame graphics
p1131	Purple fender with white flame graphics
p1132	Silver metalflake tank with dash masked off
p1133	Silver metalflake fender in the sunlight
p1134	Silver metalflake motorcycle side cover
p1135	Overflow shop bay with motorcycles and parts
p1136	Shelves of motorcycle fairings and body panels
p1137	Side cover masked with 109 stencil
p1138	American flag pistol art pieces in red white blue
p1139	Copper foil test panel with spray gun
p1140	Glove box door with gold marbled 109 numerals
p1141	Finished 109 glove box door in red and gold
p1142	Paint room with shop dog on a bed
p1143	PPG toner rack in the paint room
p1144	Distressed Puerto Rican flag metal art close-up
p1145	Camo fade side covers beside spray gun
p1146	PPG toner shelf in the paint storage room
p1147	Vibrance kandy toner bottles on the shelf
p1148	Full teal paint set laid out by the car
p1149	Guitar body in white primer on a hook
p1150	Guitar body in flat blue metallic
p1151	Guitar back in royal blue metalflake
p1152	Blue metalflake guitar body in sunlight
p1153	Two-tone blue and black tank with white pinstripe
p1154	Two-tone blue tank in the spray booth
p1155	Pinstriped tank top in blue and black
p1156	Blue metalflake guitar front hanging to cure
p1157	Bag lid in blue fade with silver pinstripes
p1158	Blue fade bag lid on the drying rack
p1159	Blue fade tank with ghosted bar-and-shield logo
p1160	Two-tone tank top with layered blue pinstripes
p1161	Fender and side covers in blue fade on rack
p1162	Pair of blue fade fenders with silver pinstripes
p1163	Blue metalflake fairing panel fresh in clear
p1164	Large blue metalflake fairing on the stand
p1165	Blue metalflake bodywork cured on the stand
p1166	Harley-Davidson sample panel with honeycomb pattern
p1167	Gold flake bar-and-shield on gray honeycomb panel
p1168	Maroon console taped for gold flame layout
p1169	Rack of bagger parts in blue fade
p1170	Fender in primer with yellow flame layout
p1171	Saddlebags and tour pack in blue two-tone
p1172	Complete bagger fairing set on wire racks
p1173	Silver tank with orange flame layout lines
p1174	Silver tank dash masked for flame layout
p1175	Harley-Davidson sample panels with honeycomb graphics
