p1416	Black motorcycle fender with filler spots on stand
p1417	Black fender with spot filler in the shop
p1418	Sanded black fender with red stripe lines
p1419	Fender in silver flake base with masked stripes
p1420	Silver flake side cover masked on the stand
p1421	Glossy blue frame covers curing on booth rack
p1422	Candy blue fairing parts on drying rack
p1423	Dark blue side cover with silver pinstripe
p1424	Blue teardrop tank with silver wing artwork
p1425	Blue metalflake fender with pale blue pinstripes
p1426	Gray Harley-Davidson tank with gold lettering
p1427	Painted skateboard decks with flame artwork
p1428	Lace-painted tank beside psychedelic art panels
p1429	Orange flake panels with silver pinstriped borders
p1430	Metalflake paint sample panels with silver frames
p1431	Candy maroon batwing fairing on booth stand
p1432	Polished candy maroon fairing with gold pinstripe
p1433	Candy maroon fender with gold pinstripe
p1434	Glossy candy red fairing edge with gold stripe
p1435	Pink hood with teal graphics and spray cans
p1436	Masked fender and covers taped for gold stripes
p1437	Fender masked off for gold flake stripe
p1438	Masked saddlebag lids with gold stripe tape
p1439	Candy maroon fairing with dual pinstripes
p1440	Blue Harley tank with silver wing emblem
p1441	Blue tank top with pale blue pinstripe panel
p1442	Teal blue tank with winged Harley-Davidson badge
p1443	Gloss black rear fender with red pinstripes
p1444	Fresh gloss black fender on booth stand
p1445	Maroon saddlebag lid with cream pinstripe
p1446	Candy red fairing top with pinstriped edge
p1447	Red fender with honeycomb stencil and pinstripe
p1448	Pink pearl saddlebag lid with chevron pattern
p1449	Black fenders drying inside the paint booth
p1450	Gloss black fender clamped on taped stand
p1451	Gloss black stretched fender on booth stand
p1452	Black bagger fender fresh off the booth
p1453	Textured black lid beside rattle can
p1454	Audi grille in satin black with red rings
p1455	S line grille with candy red rings
p1456	Black grille with gloss red Audi rings
p1457	Red car fender blocked in white primer
p1458	Primered fender on red collision repair
p1459	Red hood and fender in primer blend
p1460	Color-shift fairing in gold and burgundy
p1461	Burgundy fender set curing on shop stands
p1462	Maroon stretched fender with yellow stripes
p1463	Deep blue flake fender with dual stripes
p1464	Blue flake fender spot-sanded for repair
p1465	Blue metalflake fender with black stripe
p1466	Blue flake fender with honeycomb pinstripe art
p1467	Blue metalflake Limited fender with headdress graphic
p1468	Masked red car fresh in the booth
p1469	Fresh red hood under masking film
p1470	Glossy red bumper masked in plastic
p1471	Blue saddlebag lid with silver fade
p1472	Blue tour-pak lid fresh off clear
p1473	Blue lid pair on stands in the booth
p1474	Blue tour-pak base on the booth stand
p1475	Blue and silver saddlebag with Harley script
